"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2016","15.936","16.235","16.235","15.860","0.16K","-1.40%"
"Dec 29, 2016","16.163","15.995","16.200","15.995","0.12K","1.09%"
"Dec 28, 2016","15.988","16.000","16.025","15.875","0.18K","0.37%"
"Dec 27, 2016","15.929","15.840","15.840","15.840","0.01K","0.66%"
"Dec 26, 2016","15.825","15.828","15.867","15.817","-","0.77%"
"Dec 23, 2016","15.704","15.775","15.800","15.740","0.01K","-0.70%"
"Dec 22, 2016","15.815","15.915","15.970","15.790","0.08K","-0.65%"
"Dec 21, 2016","15.918","16.105","16.125","15.950","0.19K","-0.85%"
"Dec 20, 2016","16.054","15.710","16.025","15.700","0.02K","0.17%"
"Dec 19, 2016","16.026","16.000","16.000","15.980","0.01K","-0.85%"
"Dec 18, 2016","16.163","16.145","16.172","16.140","-","0.06%"
"Dec 16, 2016","16.153","16.000","16.000","16.000","0.14K","1.61%"
"Dec 15, 2016","15.897","16.500","16.500","15.890","0.42K","-7.32%"
"Dec 14, 2016","17.152","17.140","17.140","16.800","0.16K","1.43%"
"Dec 13, 2016","16.911","17.075","17.150","16.765","0.20K","-1.20%"
"Dec 12, 2016","17.116","16.830","17.145","16.830","0.10K","0.87%"
"Dec 11, 2016","16.968","16.932","16.973","16.900","-","0.42%"
"Dec 09, 2016","16.897","16.980","17.020","16.820","0.19K","-0.75%"
"Dec 08, 2016","17.025","17.100","17.110","16.995","0.08K","-1.03%"
"Dec 07, 2016","17.203","16.665","17.190","16.645","0.04K","2.77%"
"Dec 06, 2016","16.740","16.840","16.860","16.765","0.27K","-0.50%"
"Dec 05, 2016","16.824","16.905","16.960","16.525","0.20K","-0.23%"
"Dec 04, 2016","16.862","16.793","17.047","16.793","-","0.65%"
"Dec 02, 2016","16.753","16.615","16.775","16.305","0.14K","1.98%"
"Dec 01, 2016","16.427","16.495","16.630","16.250","0.78K","0.13%"
"Nov 30, 2016","16.406","16.545","16.715","16.395","1.21K","-1.53%"
"Nov 29, 2016","16.661","16.605","16.700","16.390","17.88K","0.50%"
"Nov 28, 2016","16.578","16.578","16.578","16.578","0.32K","0.69%"
"Nov 25, 2016","16.464","16.540","16.540","16.540","0.00K","0.74%"
"Nov 24, 2016","16.343","16.348","16.390","16.218","-","-0.24%"
"Nov 23, 2016","16.383","16.255","16.260","16.255","0.00K","-1.44%"
"Nov 22, 2016","16.623","16.623","16.623","16.623","0.13K","0.67%"
"Nov 21, 2016","16.512","16.550","16.550","16.550","0.00K","-0.25%"
"Nov 20, 2016","16.553","16.600","16.600","16.527","-","-0.36%"
"Nov 18, 2016","16.613","16.613","16.613","16.613","0.03K","-0.88%"
"Nov 17, 2016","16.761","16.761","16.761","16.761","0.25K","-0.90%"
"Nov 16, 2016","16.914","16.925","16.925","16.925","0.00K","-0.68%"
"Nov 15, 2016","17.029","17.050","17.050","17.050","0.00K","0.90%"
"Nov 14, 2016","16.877","17.460","17.460","16.805","0.02K","-3.32%"
"Nov 13, 2016","17.457","17.332","17.487","17.332","-","0.54%"
"Nov 11, 2016","17.364","18.705","18.800","17.335","0.03K","-7.22%"
"Nov 10, 2016","18.716","18.475","18.475","18.460","0.00K","1.96%"
"Nov 09, 2016","18.357","18.770","18.800","18.405","0.02K","0.15%"
"Nov 08, 2016","18.330","18.300","18.700","18.300","0.02K","1.14%"
"Nov 07, 2016","18.124","18.150","18.195","18.150","0.01K","-0.28%"
"Nov 06, 2016","18.175","18.260","18.260","18.130","-","-0.91%"
"Nov 04, 2016","18.342","18.370","18.370","18.370","0.01K","-0.22%"
"Nov 03, 2016","18.383","18.330","18.330","18.330","0.00K","-1.48%"
"Nov 02, 2016","18.660","18.330","18.600","18.330","0.01K","1.50%"
"Nov 01, 2016","18.385","18.000","18.450","18.000","0.05K","3.51%"
"Oct 31, 2016","17.762","17.810","17.810","17.810","0.00K","-0.44%"
"Oct 30, 2016","17.840","17.800","17.865","17.800","-","0.44%"
"Oct 28, 2016","17.762","17.625","17.855","17.605","0.04K","0.90%"
"Oct 27, 2016","17.604","17.590","17.590","17.590","0.02K","0.11%"
"Oct 26, 2016","17.585","17.655","17.655","17.655","0.01K","-0.85%"
"Oct 25, 2016","17.736","17.630","17.660","17.630","0.01K","0.99%"
"Oct 24, 2016","17.562","17.562","17.562","17.562","0.11K","0.21%"
"Oct 23, 2016","17.525","17.538","17.538","17.490","-","0.44%"
"Oct 21, 2016","17.448","17.448","17.448","17.448","0.06K","-0.31%"
"Oct 20, 2016","17.502","17.685","17.685","17.425","0.02K","-0.65%"
"Oct 19, 2016","17.616","17.585","17.710","17.585","0.01K","0.14%"
