Date, Platinium
23-10-2017,927.2
24-10-2017,925.5
25-10-2017,926.7
26-10-2017,922.1
27-10-2017,914.6
30-10-2017,922.7
31-10-2017,919.6
01-11-2017,936.7
02-11-2017,927.8
03-11-2017,921.9
06-11-2017,935
07-11-2017,925.3
08-11-2017,937.9
09-11-2017,940.6
10-11-2017,932.1
13-11-2017,935.6
14-11-2017,927.3
15-11-2017,933.1
16-11-2017,936.2
17-11-2017,954.6
20-11-2017,923.6
21-11-2017,938
22-11-2017,940.7
24-11-2017,945.3
27-11-2017,950.8
28-11-2017,952.8
29-11-2017,941.2
30-11-2017,942.5
01-12-2017,940.6
04-12-2017,926
05-12-2017,917.5
06-12-2017,902.8
07-12-2017,894.5
08-12-2017,883.7
11-12-2017,892.8
12-12-2017,875.7
13-12-2017,875.4
14-12-2017,881.2
15-12-2017,889.4
18-12-2017,913.2
19-12-2017,914.1
20-12-2017,921.5
21-12-2017,919.7
22-12-2017,923
26-12-2017,924.3
27-12-2017,925.42
28-12-2017,929.66
29-12-2017,937.48
02-01-2018,947.8
03-01-2018,962.3
04-01-2018,970.2
05-01-2018,975.2
08-01-2018,976.4
09-01-2018,972.3
10-01-2018,978.8
11-01-2018,990.8
12-01-2018,996.2
16-01-2018,1004.9
17-01-2018,1010.9
18-01-2018,1007.2
19-01-2018,1020.1
22-01-2018,996.8
23-01-2018,1007.8
24-01-2018,1015.8
25-01-2018,1032.1
26-01-2018,1018.4
29-01-2018,1012.7
30-01-2018,1001.8
31-01-2018,1004.3
01-02-2018,1007.8
02-02-2018,999.4
05-02-2018,995.5
06-02-2018,994.3
07-02-2018,981.7
08-02-2018,978.4
09-02-2018,961.5
12-02-2018,972.8
13-02-2018,975.7
14-02-2018,999.1
15-02-2018,1001.1
16-02-2018,1012.3
20-02-2018,1004
21-02-2018,996.6
22-02-2018,999.4
23-02-2018,998.8
26-02-2018,1001.8
27-02-2018,984.6
28-02-2018,988.1
01-03-2018,957.8
02-03-2018,965.1
05-03-2018,962.1
06-03-2018,970.6
07-03-2018,953.2
08-03-2018,952.3
09-03-2018,964.2
12-03-2018,962.9
13-03-2018,967.3
14-03-2018,961.5
15-03-2018,956.9
16-03-2018,950.2
19-03-2018,954.4
20-03-2018,945
21-03-2018,950.6
22-03-2018,949.1
23-03-2018,948.4
26-03-2018,951.6
27-03-2018,948.98
28-03-2018,938.36
29-03-2018,931.54
02-04-2018,936.5
03-04-2018,931.3
04-04-2018,918.1
05-04-2018,915.3
06-04-2018,917.5
09-04-2018,939.4
10-04-2018,933.1
11-04-2018,934.3
12-04-2018,934.8
13-04-2018,933.1
16-04-2018,931.8
17-04-2018,940
18-04-2018,945.8
19-04-2018,940.1
20-04-2018,931.8
23-04-2018,922.4
24-04-2018,935
25-04-2018,912.7
26-04-2018,910.1
27-04-2018,916.4
30-04-2018,904.4
01-05-2018,894.2
02-05-2018,893.8
03-05-2018,904
04-05-2018,910.3
07-05-2018,913.3
08-05-2018,912.1
09-05-2018,916.6
10-05-2018,925.1
11-05-2018,925.9
14-05-2018,914.9
15-05-2018,897.2
16-05-2018,889.8
17-05-2018,892.1
18-05-2018,886.5
21-05-2018,899.8
22-05-2018,908.8
23-05-2018,900.8
24-05-2018,912.6
25-05-2018,901.3
29-05-2018,905.9
30-05-2018,908.5
31-05-2018,910.1
01-06-2018,906.7
04-06-2018,903.5
05-06-2018,901.3
06-06-2018,907.6
07-06-2018,900.3
08-06-2018,905.7
11-06-2018,906.4
12-06-2018,901.5
13-06-2018,902.5
14-06-2018,910.9
15-06-2018,887.8
18-06-2018,883.9
19-06-2018,864.9
20-06-2018,874.1
21-06-2018,863.2
22-06-2018,873.3
25-06-2018,868.8
26-06-2018,871.98
27-06-2018,859.78
28-06-2018,853.24
29-06-2018,856.64
02-07-2018,813.4
03-07-2018,846.3
05-07-2018,841.4
06-07-2018,848.6
09-07-2018,853.5
10-07-2018,846.2
11-07-2018,835
12-07-2018,846.4
13-07-2018,830.3
16-07-2018,826.4
17-07-2018,819.9
18-07-2018,817.8
19-07-2018,806.3
20-07-2018,829.5
23-07-2018,831
24-07-2018,835.6
25-07-2018,839.7
26-07-2018,835.7
27-07-2018,831.7
30-07-2018,831.5
31-07-2018,845.8
01-08-2018,817.2
02-08-2018,828.2
03-08-2018,836.9
06-08-2018,826.3
07-08-2018,831.4
08-08-2018,829.5
09-08-2018,834.1
10-08-2018,829.6
13-08-2018,799.5
14-08-2018,801.7
15-08-2018,771.9
16-08-2018,784.5
17-08-2018,777.3
20-08-2018,793.9
21-08-2018,793
22-08-2018,793.7
23-08-2018,778.4
24-08-2018,789.4
27-08-2018,804.2
28-08-2018,795.3
29-08-2018,796.6
30-08-2018,791.8
31-08-2018,787.1
04-09-2018,778.2
05-09-2018,784.3
06-09-2018,790.9
07-09-2018,780.4
10-09-2018,790
11-09-2018,789.3
12-09-2018,799.9
13-09-2018,803.3
14-09-2018,798.6
17-09-2018,800.9
18-09-2018,814.9
19-09-2018,821.9
20-09-2018,834.2
21-09-2018,829.6
24-09-2018,829.3
25-09-2018,823.56
26-09-2018,827
27-09-2018,812.94
28-09-2018,821.66
01-10-2018,827.9
02-10-2018,833.5
03-10-2018,835.7
04-10-2018,824.5
05-10-2018,824.5
08-10-2018,818.3
09-10-2018,828.9
10-10-2018,827.3
11-10-2018,846.6
12-10-2018,840
15-10-2018,846.3
16-10-2018,846.7
17-10-2018,840.6
18-10-2018,831.7
19-10-2018,836
22-10-2018,822.5
23-10-2018,835.4
24-10-2018,831.5
25-10-2018,831.9
26-10-2018,834.4
29-10-2018,836.9
30-10-2018,839
31-10-2018,843
01-11-2018,862.8
02-11-2018,875.7
05-11-2018,869.4
06-11-2018,871.5
07-11-2018,878.8
08-11-2018,870.3
09-11-2018,856
12-11-2018,845.3
13-11-2018,841.3
14-11-2018,833.8
15-11-2018,845.3
16-11-2018,846.6
19-11-2018,857.6
20-11-2018,847
21-11-2018,850.6
23-11-2018,845
26-11-2018,847.8
27-11-2018,835.3
28-11-2018,826.3
29-11-2018,820.9
